version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 458575205409 eni-09faf44014196404b 35.203.210.166 10.0.1.215 51428 9370 6 1 44 1789610885 1789610886 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 85.217.140.33 10.0.2.88 53939 15903 6 1 52 1789610867 1789610893 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 85.217.140.45 10.0.2.88 41525 27268 6 1 52 1789610867 1789610893 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.132.65 10.0.2.88 56544 7070 6 1 44 1789610867 1789610893 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 213.209.159.25 10.0.2.88 41512 2022 6 1 44 1789610867 1789610893 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 216.25.89.143 10.0.2.88 56669 10024 6 1 44 1789610867 1789610893 ACCEPT OK
2 458575205409 eni-09faf44014196404b 147.185.133.60 10.0.1.215 55588 100 6 1 44 1789610860 1789610861 ACCEPT OK
2 458575205409 eni-09faf44014196404b 162.216.149.8 10.0.1.215 51583 9821 6 1 44 1789610893 1789610894 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 216.25.89.156 10.0.2.88 51008 9633 6 1 44 1789610892 1789610892 ACCEPT OK
2 458575205409 eni-09faf44014196404b 35.203.210.107 10.0.1.215 52046 46866 6 1 44 1789610875 1789610903 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.140.45 10.0.1.215 54770 27268 6 1 52 1789610875 1789610903 ACCEPT OK
2 458575205409 eni-09faf44014196404b 141.98.11.129 10.0.1.215 13778 123 17 1 36 1789610875 1789610903 ACCEPT OK
2 458575205409 eni-09faf44014196404b 198.235.24.9 10.0.1.215 52086 7777 6 1 44 1789610875 1789610875 ACCEPT OK
2 458575205409 eni-09faf44014196404b 79.124.58.18 10.0.1.215 47643 47058 6 1 40 1789610880 1789610905 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.140.40 10.0.1.215 51459 31708 6 1 52 1789610880 1789610905 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.149.72 10.0.1.215 32816 16007 6 1 52 1789610880 1789610905 ACCEPT OK
2 458575205409 eni-09faf44014196404b 89.42.231.200 10.0.1.215 40240 17000 6 1 40 1789610880 1789610905 ACCEPT OK
2 458575205409 eni-09faf44014196404b 175.125.92.77 10.0.1.215 59281 2375 6 1 44 1789610880 1789610905 ACCEPT OK
2 458575205409 eni-09faf44014196404b - - - - - - - 1789610880 1789610911 - NODATA
2 458575205409 eni-007e9247c3198bc26 207.90.244.17 10.0.2.88 26200 12434 6 1 44 1789610901 1789610908 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610901 1789610908 - SKIPDATA
2 458575205409 eni-007e9247c3198bc26 94.154.43.203 10.0.2.88 54307 8083 6 1 40 1789610912 1789610917 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.150.137 10.0.2.88 50843 34451 6 1 44 1789610912 1789610917 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 35.203.211.65 10.0.2.88 55046 8433 6 1 44 1789610896 1789610918 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 85.217.140.49 10.0.2.88 58334 43799 6 1 52 1789610896 1789610918 ACCEPT OK
2 458575205409 eni-09faf44014196404b - - - - - - - 1789610889 1789610920 - NODATA
2 458575205409 eni-007e9247c3198bc26 81.16.152.2 10.0.2.88 0 0 1 1 40 1789610920 1789610920 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 91.231.89.44 10.0.2.88 53194 9401 6 1 60 1789610917 1789610939 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.149.16 10.0.2.88 49570 9215 6 1 44 1789610917 1789610939 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 172.94.9.57 10.0.2.88 51881 5900 6 1 40 1789610917 1789610939 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.149.26 10.0.1.215 45533 38275 6 1 52 1789610908 1789610934 ACCEPT OK
